bit_position,dimension,threshold,error_count,total,BER
453,151,0,171,881,0.19409761634506242
454,151,1,224,881,0.2542565266742338
455,151,2,165,881,0.1872871736662883
456,152,0,182,881,0.20658342792281498
457,152,1,235,881,0.2667423382519864
458,152,2,184,881,0.20885357548240635
459,153,0,164,881,0.18615209988649262
460,153,1,238,881,0.27014755959137343
461,153,2,175,881,0.19863791146424517
462,154,0,155,881,0.17593643586833144
463,154,1,236,881,0.26787741203178206
464,154,2,223,881,0.25312145289443816
465,155,0,178,881,0.20204313280363223
466,155,1,242,881,0.2746878547105562
467,155,2,168,881,0.19069239500567536
468,156,0,171,881,0.19409761634506242
469,156,1,262,881,0.2973893303064699
470,156,2,194,881,0.22020431328036322
471,157,0,188,881,0.2133938706015891
472,157,1,273,881,0.3098751418842225
473,157,2,165,881,0.1872871736662883
474,158,0,180,881,0.2043132803632236
475,158,1,233,881,0.264472190692395
476,158,2,202,881,0.2292849035187287
477,159,0,164,881,0.18615209988649262
478,159,1,203,881,0.2304199772985244
479,159,2,176,881,0.19977298524404086
480,160,0,138,881,0.15664018161180476
481,160,1,244,881,0.27695800227014755
482,160,2,205,881,0.23269012485811577
483,161,0,181,881,0.2054483541430193
484,161,1,227,881,0.2576617480136209
485,161,2,197,881,0.22360953461975028
486,162,0,153,881,0.17366628830874006
487,162,1,233,881,0.264472190692395
488,162,2,185,881,0.20998864926220204
489,163,0,159,881,0.18047673098751418
490,163,1,209,881,0.23723041997729852
491,163,2,173,881,0.1963677639046538
492,164,0,177,881,0.20090805902383654
493,164,1,209,881,0.23723041997729852
494,164,2,165,881,0.1872871736662883
495,165,0,166,881,0.188422247446084
496,165,1,244,881,0.27695800227014755
497,165,2,171,881,0.19409761634506242
498,166,0,166,881,0.188422247446084
499,166,1,236,881,0.26787741203178206
500,166,2,196,881,0.2224744608399546
501,167,0,179,881,0.20317820658342792
502,167,1,234,881,0.2656072644721907
503,167,2,155,881,0.17593643586833144
504,168,0,194,881,0.22020431328036322
505,168,1,231,881,0.26220204313280365
506,168,2,196,881,0.2224744608399546
507,169,0,211,881,0.2395005675368899
508,169,1,246,881,0.2792281498297389
509,169,2,197,881,0.22360953461975028
510,170,0,188,881,0.2133938706015891
511,170,1,208,881,0.23609534619750283
512,170,2,172,881,0.1952326901248581
513,171,0,189,881,0.21452894438138478
514,171,1,223,881,0.25312145289443816
515,171,2,185,881,0.20998864926220204
516,172,0,191,881,0.21679909194097616
517,172,1,240,881,0.2724177071509648
